"X--Trace 1::[V(in), Temperature=-40]","Y--Trace 1::[V(in), Temperature=-40]",,"X--Trace 2::[V(out), Temperature=-40]","Y--Trace 2::[V(out), Temperature=-40]",,"X--Trace 3::[V(in), Temperature=-30]","Y--Trace 3::[V(in), Temperature=-30]",,"X--Trace 4::[V(out), Temperature=-30]","Y--Trace 4::[V(out), Temperature=-30]",,"X--Trace 5::[V(in), Temperature=-20]","Y--Trace 5::[V(in), Temperature=-20]",,"X--Trace 6::[V(out), Temperature=-20]","Y--Trace 6::[V(out), Temperature=-20]",,"X--Trace 7::[V(in), Temperature=-10]","Y--Trace 7::[V(in), Temperature=-10]",,"X--Trace 8::[V(out), Temperature=-10]","Y--Trace 8::[V(out), Temperature=-10]",,"X--Trace 9::[V(in), Temperature=0]","Y--Trace 9::[V(in), Temperature=0]",,"X--Trace 10::[V(out), Temperature=0]","Y--Trace 10::[V(out), Temperature=0]",,"X--Trace 11::[V(in), Temperature=10]","Y--Trace 11::[V(in), Temperature=10]",,"X--Trace 12::[V(out), Temperature=10]","Y--Trace 12::[V(out), Temperature=10]",,"X--Trace 13::[V(in), Temperature=20]","Y--Trace 13::[V(in), Temperature=20]",,"X--Trace 14::[V(out), Temperature=20]","Y--Trace 14::[V(out), Temperature=20]",,"X--Trace 15::[V(in), Temperature=30]","Y--Trace 15::[V(in), Temperature=30]",,"X--Trace 16::[V(out), Temperature=30]","Y--Trace 16::[V(out), Temperature=30]",,"X--Trace 17::[V(in), Temperature=40]","Y--Trace 17::[V(in), Temperature=40]",,"X--Trace 18::[V(out), Temperature=40]","Y--Trace 18::[V(out), Temperature=40]",,"X--Trace 19::[V(in), Temperature=50]","Y--Trace 19::[V(in), Temperature=50]",,"X--Trace 20::[V(out), Temperature=50]","Y--Trace 20::[V(out), Temperature=50]",,"X--Trace 21::[V(in), Temperature=60]","Y--Trace 21::[V(in), Temperature=60]",,"X--Trace 22::[V(out), Temperature=60]","Y--Trace 22::[V(out), Temperature=60]"
0.02378,0.00927444,,0.02378,2.89705,,0.0237257,0.00920927,,0.0237257,2.88608,,0.0236823,0.00915531,,0.0236823,2.877,,0.0236439,0.00910617,,0.0236439,2.86889,,0.0236064,0.00905685,,0.0236064,2.86114,,0.0236297,0.00908757,,0.0236297,2.8659,,0.0236797,0.00915208,,0.0236797,2.87591,,0.0237657,0.00925754,,0.0237657,2.89217,,0.0238615,0.00936715,,0.0238615,2.90914,,0.02402,0.00952978,,0.02402,2.93437,,0.0240909,0.00959492,,0.0240909,2.94474
0.02503,0.00999956,,0.02503,3.0144,,0.0249757,0.00999971,,0.0249757,3.01526,,0.0249323,0.00999774,,0.0249323,3.01565,,0.0248939,0.00999445,,0.0248939,3.01562,,0.0248564,0.00998983,,0.0248564,3.01503,,0.0248797,0.00999286,,0.0248797,3.01547,,0.0249297,0.00999756,,0.0249297,3.01617,,0.0250157,0.00999988,,0.0250157,3.01666,,0.0251115,0.00999387,,0.0251115,3.01592,,0.02527,0.00996405,,0.02527,3.01178,,0.0253409,0.00994271,,0.0253409,3.00858
0.02628,0.00920233,,0.02628,2.89291,,0.0262257,0.00926778,,0.0262257,2.90192,,0.0261823,0.00931811,,0.0261823,2.90885,,0.0261439,0.00936117,,0.0261439,2.9149,,0.0261064,0.00940194,,0.0261064,2.92095,,0.0261297,0.00937682,,0.0261297,2.91755,,0.0261797,0.00932101,,0.0261797,2.9097,,0.0262657,0.00921982,,0.0262657,2.89513,,0.0263615,0.00909911,,0.0263615,2.87771,,0.02652,0.00888138,,0.02652,2.84599,,0.0265909,0.0087768,,0.0265909,2.83105
0.02753,0.00700414,,0.02753,2.56977,,0.0274757,0.00712492,,0.0274757,2.58894,,0.0274323,0.00721988,,0.0274323,2.60409,,0.0273939,0.00730273,,0.0273939,2.61721,,0.0273564,0.0073827,,0.0273564,2.62957,,0.0273797,0.00733325,,0.0273797,2.62236,,0.0274297,0.00722542,,0.0274297,2.60637,,0.0275157,0.00703613,,0.0275157,2.57825,,0.0276115,0.0068191,,0.0276115,2.54598,,0.02777,0.0064466,,0.02777,2.49045,,0.0278409,0.00627471,,0.0278409,2.46484
0.02878,0.00373962,,0.02878,2.07648,,0.0287257,0.00389735,,0.0287257,2.09978,,0.0286823,0.00402249,,0.0286823,2.11834,,0.0286439,0.00413252,,0.0286439,2.13482,,0.0286064,0.0042395,,0.0286064,2.15115,,0.0286297,0.00417326,,0.0286297,2.14177,,0.0286797,0.00402983,,0.0286797,2.12089,,0.0287657,0.00378125,,0.0287657,2.08426,,0.0288615,0.00350094,,0.0288615,2.04291,,0.02902,0.00303039,,0.02902,1.9731,,0.0290909,0.00281735,,0.0290909,1.94191
0.03003,-9.4213e-005,,0.03003,1.50487,,0.0299757,7.64489e-005,,0.0299757,1.53173,,0.0299323,0.000212708,,0.0299323,1.55327,,0.0298939,0.000333172,,0.0298939,1.57225,,0.0298564,0.000450883,,0.0298564,1.59052,,0.0298797,0.000377933,,0.0298797,1.57991,,0.0299297,0.000220725,,0.0299297,1.5566,,0.0300157,-4.92885e-005,,0.0300157,1.51635,,0.0301115,-0.000350206,,0.0301115,1.47144,,0.03027,-0.000847179,,0.03027,1.39702,,0.0303409,-0.00106893,,0.0303409,1.36393
0.03128,-0.00391371,,0.03128,0.926153,,0.0312257,-0.00375609,,0.0312257,0.949742,,0.0311823,-0.00362945,,0.0311823,0.968803,,0.0311439,-0.0035169,,0.0311439,0.985923,,0.0311064,-0.00340638,,0.0311064,1.003,,0.0311297,-0.00347494,,0.0311297,0.993333,,0.0311797,-0.00362198,,0.0311797,0.971894,,0.0312657,-0.00387232,,0.0312657,0.934877,,0.0313615,-0.00414804,,0.0313615,0.894051,,0.03152,-0.00459577,,0.03152,0.82732,,0.0315909,-0.00479247,,0.0315909,0.798452
0.03253,-0.00713737,,0.03253,0.443395,,0.0324757,-0.0070168,,0.0324757,0.462761,,0.0324323,-0.00691906,,0.0324323,0.478563,,0.0323939,-0.00683155,,0.0323939,0.492677,,0.0323564,-0.00674505,,0.0323564,0.506448,,0.0323797,-0.00679878,,0.0323797,0.499518,,0.0324297,-0.00691327,,0.0324297,0.486922,,0.0325157,-0.00710583,,0.0325157,0.476328,,0.0326115,-0.00731436,,0.0326115,0.478962,,0.03277,-0.00764469,,0.03277,0.485885,,0.0328409,-0.0077864,,0.0328409,0.503072
0.03378,-0.00927444,,0.03378,0.257143,,0.0337257,-0.00920927,,0.0337257,0.279589,,0.0336823,-0.00915531,,0.0336823,0.301978,,0.0336439,-0.00910617,,0.0336439,0.324412,,0.0336064,-0.00905685,,0.0336064,0.347037,,0.0336297,-0.00908757,,0.0336297,0.368552,,0.0336797,-0.00915208,,0.0336797,0.389842,,0.0337657,-0.00925754,,0.0337657,0.410932,,0.0338615,-0.00936715,,0.0338615,0.432331,,0.03402,-0.00952978,,0.03402,0.453492,,0.0340909,-0.00959492,,0.0340909,0.475827
0.03503,-0.00999956,,0.03503,0.24711,,0.0349757,-0.00999971,,0.0349757,0.26919,,0.0349323,-0.00999774,,0.0349323,0.291408,,0.0348939,-0.00999445,,0.0348939,0.313773,,0.0348564,-0.00998983,,0.0348564,0.336234,,0.0348797,-0.00999286,,0.0348797,0.358745,,0.0349297,-0.00999756,,0.0349297,0.381333,,0.0350157,-0.00999988,,0.0350157,0.40402,,0.0351115,-0.00999387,,0.0351115,0.426806,,0.03527,-0.00996405,,0.03527,0.44983,,0.0353409,-0.00994271,,0.0353409,0.472871
